Sample_ID,Accession,Continent,Country,Region,Strain,Latitude,Longitude,year_of_collection,Pot.Field,Host,avg_gw_coverage,num_het_pos,var_het_ratio,mating_type,Status_world,Status_ext_eur,Status_recent_ext_eur,excluded_reason,avrpm17_covg_ratio,AvrPm17_variant,avrpm17_cluster,pheno_amigo,pheno_pm3e2,fs_level_1,fs_level_2,fs_level_3,fs_level_4,fs_level_5,fs_level_6,fs_level_7,fs_level_8,fs_level_9,fs_level_10,anc1,anc2,anc3,anc4,anc5,anc6,anc7,anc8,anc9,wind_coord1,wind_coord2,wind_coord3,bio2,bio3,bio4,bio7,bio8,bio16,bio19,hurs_range,rsds_range,vpd_range,clt_mean,clt_range
AUS_Australian_Isolate,SRR11548136,Oceania,Australia,Australia,tritici,-26,121,2015,NA,NA,30.92,93358,2.47,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.935059,0.064871,1e-05,1e-05,1e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS_CUN3M,SRR11548125,Oceania,Australia,Australia,tritici,-31.66,117.24,2015,NA,NA,28.62,134022,1.681,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.953944,0.045986,1e-05,1e-05,1e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS_FTA,SRR11548217,Oceania,Australia,Australia,tritici,-32.006111,115.893333,2015,NA,NA,23.61,141326,1.528,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.946154,0.053776,1e-05,1e-05,1e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_07224,SRR11548211,Europe,Switzerland,Switzerland,tritici,NA,NA,2007,NA,NA,29.3,96891,2.289,1_1_3,Included,Included,Excluded,NA,2.053,C,1,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_07227,SRR11548210,Europe,Switzerland,Switzerland,tritici,NA,NA,2007,NA,NA,40.36,94057,2.421,1_2_1,Included,Included,Excluded,NA,1.929,A,5,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_07230,SRR11548209,Europe,Switzerland,Switzerland,tritici,NA,NA,2007,NA,NA,22.73,85964,2.408,1_2_1,Included,Included,Excluded,NA,2.12,C,1,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_07234,SRR11548208,Europe,Switzerland,Switzerland,tritici,NA,NA,2007,NA,NA,25.35,94814,2.245,1_1_3,Included,Included,Excluded,NA,1.869,C,4,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_07298,SRR11548207,Europe,Switzerland,Switzerland,tritici,NA,NA,2007,NA,NA,34.78,92823,2.405,1_2_1,Included,Included,Excluded,NA,1.894,C,NA,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,0.024587,1e-05,1e-05,1e-05,1e-05,0.975343,1e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_10001,SRR11548206,Europe,Switzerland,Switzerland,tritici,47.42886,8.515962,2010,NA,NA,24.39,90557,2.275,1_1_3,Included,Included,Excluded,NA,1.999,A/C,NA,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,-611.879379563465,-96.1609947677785,10.6894531701225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_7004,SRR2153097,Europe,Switzerland,Switzerland,tritici,47.42886,8.515962,2007,NA,NA,37.67,79698,2.647,1_2_1,Included,Included,Excluded,NA,3.498,C,7,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,-611.879379563465,-96.1609947677821,10.6894531701186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_96229,SRR11548205,Europe,Switzerland,Switzerland,tritici,47.53277778,8.85972222,1996,NA,NA,30.52,87475,2.401,1_2_1,Included,Included,Excluded,NA,2.126,A,5,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,1e-05,1e-05,1e-05,1e-05,0.023952,0.843582,1e-05,0.12761,0.004806,-612.862765382764,-75.9811624276438,16.4150733235947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_96249,SRR11548204,Europe,Switzerland,Switzerland,tritici,46.54777778,6.41527778,1996,NA,NA,35.06,95245,2.318,1_2_1,Included,Included,Excluded,NA,3.791,C,7,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,0.061127,1e-05,1e-05,1e-05,1e-05,0.861629,0.076515,1e-05,0.000679,-534.912594327064,-115.789667784267,43.0085235594284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_97223,SRR11548203,Europe,Switzerland,Switzerland,tritici,47.06694444,7.24916667,1997,NA,NA,23.75,85033,2.369,1_1_3,Included,Included,Excluded,NA,1.812,A,5,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,0.056795,1e-05,1e-05,1e-05,0.006534,0.919436,1.7e-05,1e-05,0.017178,-573.579437267416,-95.708182618921,29.2522500402036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_97266,SRR11548201,Europe,Switzerland,Switzerland,tritici,46.84166667,6.96638889,1997,NA,NA,43.9,105213,2.311,1_1_3,Included,Included,Excluded,NA,1.856,C,NA,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old+,0.169892,1e-05,1e-05,1e-05,1e-05,0.660499,0.169548,1e-05,1e-05,-573.579437267416,-95.708182618921,29.2522500402039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_98013,SRR11548200,Europe,Switzerland,Switzerland,tritici,46.383333,6.233333,1998,NA,NA,23.43,87267,2.318,1_2_1,Included,Included,Excluded,NA,2,C,1,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,1e-05,1e-05,0.026279,1e-05,1e-05,0.973651,1e-05,1e-05,1e-05,-534.912594327064,-115.789667784267,43.0085235594269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_98230,SRR11548199,Europe,Switzerland,Switzerland,tritici,47.216667,8.241944,1998,NA,NA,23.13,89361,2.25,1_1_3,Included,Included,Excluded,NA,2.043,C,3,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,1e-05,1e-05,1e-05,0.001199,1e-05,0.998731,1e-05,1e-05,1e-05,-573.579437267416,-95.708182618921,29.2522500402029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE_98250,SRR11548198,Europe,Switzerland,Switzerland,tritici,47.216667,8.241944,1998,NA,NA,39.89,101134,2.177,1_2_1,Included,Included,Excluded,NA,1.974,C,1,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,-573.579437267416,-95.708182618921,29.2522500402028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_1-19,SRR7299467,Asia,China,China: Sichuan,tritici,31.468,104.679,2011,NA,NA,28.99,72375,3.162,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.038807,1e-05,1e-05,0.12272,1e-05,1e-05,0.838412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_1-25,SRR4042182,Asia,China,China: Sichuan,tritici,31.468,104.679,2011,NA,NA,21.81,82134,3.108,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_1-62,SRR7299469,Asia,China,China: Sichuan,tritici,31.468,104.679,2011,NA,NA,19.32,77102,3.267,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_10-8,SRR4042203,Asia,China,China: Yunan,tritici,25.043333,102.706111,2011,NA,NA,24.65,73533,3.405,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.007223,1e-05,1e-05,1e-05,1e-05,1e-05,0.992707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_11-133,SRR7299471,Asia,China,China: Hubei,tritici,32.017,112.133,2011,NA,NA,22.14,75886,3.495,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_11-99,SRR7299473,Asia,China,China: Hubei,tritici,32.017,112.133,2011,NA,NA,34.16,67706,3.355,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.028635,1e-05,1e-05,1e-05,1e-05,1e-05,0.971295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_12-3,SRR7299465,Asia,China,China: Guizhou,tritici,25.092,104.895,2011,NA,NA,26.42,70208,3.538,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.034744,0.000243,1e-05,0.025353,1e-05,1e-05,0.93961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_12-50,SRR4042184,Asia,China,China: Guizhou,tritici,25.092,104.895,2011,NA,NA,32.46,78613,3.226,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.034555,0.004826,1e-05,0.045583,1e-05,1e-05,0.914985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_12-82,SRR7299466,Asia,China,China: Guizhou,tritici,25.092,104.895,2011,NA,NA,25.72,66884,3.441,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.045106,1e-05,1e-05,0.015823,1e-05,1e-05,0.939012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_13-37,SRR7299523,Asia,China,China: Guizhou,tritici,26.249,105.935,2011,NA,NA,26.45,77517,3.461,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_13-51,SRR7299525,Asia,China,China: Guizhou,tritici,26.249,105.935,2011,NA,NA,24.77,71680,3.941,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_13-76,SRR7299526,Asia,China,China: Guizhou,tritici,26.249,105.935,2011,NA,NA,22.31,78369,3.36,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_15-17,SRR7299522,Asia,China,China: Henan,tritici,35.243056,113.223056,2011,NA,NA,26.63,74524,3.577,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.99991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_15-9,SRR4042196,Asia,China,China,tritici,35.243056,113.223056,2011,NA,NA,28.57,79659,3.414,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_17-18,SRR7299517,Asia,China,China: Anhui,tritici,32.89,115.814,2011,NA,NA,27.35,78116,3.186,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,0.018861,1e-05,0.00716,1e-05,1e-05,0.766146,1e-05,0.207782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_17-40,SRR4042186,Asia,China,China: Anhui,tritici,32.89,115.814,2011,NA,NA,24.4,82539,3.176,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_18-11,SRR7299484,Asia,China,China: Henan,tritici,34.415,115.656,2011,NA,NA,33.54,68262,3.476,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.035392,1e-05,1e-05,0.133131,1e-05,1e-05,0.831418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_19-11,SRR7299485,Asia,China,China: Jiangsu,tritici,32.4,119.416667,2011,NA,NA,31.81,85724,3.214,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_2-25,SRR4042183,Asia,China,China: Sichuan,tritici,31.643,105.171,2011,NA,NA,23.77,63797,3.299,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.028033,1e-05,1e-05,0.271413,1e-05,1e-05,0.700494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_2-5,SRR7299487,Asia,China,China: Sichuan,tritici,31.643,105.171,2011,NA,NA,30.65,81053,3.057,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.021256,1e-05,1e-05,1e-05,1e-05,1e-05,0.978674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_2-65,SRR7299490,Asia,China,China: Sichuan,tritici,31.643,105.171,2011,NA,NA,49.71,79935,3.06,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.019506,1e-05,1e-05,0.199458,1e-05,1e-05,0.780976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_21-1,SRR7299489,Asia,China,China: Jiangsu,tritici,32.4,119.416667,2011,NA,NA,29.09,81008,3.333,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_21-2,SRR7299480,Asia,China,China: Jiangsu,tritici,33.383333,120.116667,2011,NA,NA,57.73,84899,3.389,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1.8e-05,1e-05,1e-05,1e-05,1e-05,0.999912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_21-8,SRR7299479,Asia,China,China: Jiangsu,tritici,32.4,119.416667,2011,NA,NA,27.03,77814,3.363,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,0.07899,1.1e-05,1e-05,1e-05,1e-05,0.920939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_28-9,SRR7299512,Asia,China,China: Anhui,tritici,33.648,116.964,2011,NA,NA,26.72,73433,3.656,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_3-53,SRR4042199,Asia,China,China: Sichuan,tritici,31.208,105.389,2011,NA,NA,26.22,81774,3.12,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_35-1,SRR7299507,Asia,China,China: Hebei,tritici,38.866667,115.466667,2011,NA,NA,26,79592,3.138,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,0.025828,1e-05,1e-05,1e-05,1e-05,0.974102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_36-3,SRR7299502,Asia,China,China: Hebei,tritici,38.516,114.99,2011,NA,NA,28.82,81573,3.039,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,0.020252,0.019589,1e-05,1e-05,1e-05,1e-05,0.960099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_36-70,SRR4042191,Asia,China,China: Hebei,tritici,38.516,114.99,2011,NA,NA,29.84,80777,3.306,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,0.043145,1e-05,1e-05,1e-05,1e-05,0.956785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN_37-34,SRR7299516,Asia,China,China: Hebei,tritici,38.066667,114.483333,2011,NA,NA,23.68,79459,3.198,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,0.028615,1e-05,1.2e-05,1e-05,1e-05,0.971312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
